PLAYLIST_REF, ID, Practiced, Feedback
1, 415, 2023-04-07 23:06:55, 
1, 1033, 2021-08-13 23:55:16, 
1, 1050, 2023-01-08 18:22:56, 
1, 1054, 2021-08-31 23:00:00, 
1, 558, 2021-08-25 23:09:42, 
1, 1129, 2021-09-05 22:27:21, 
1, 1147, 2021-08-09 22:23:43, 
1, 3013, 2023-03-30 22:27:10, 
1, 1149, 2021-08-21 15:51:50, 
1, 3603, 2023-03-25 00:14:07, 
1, 3066, 2021-09-06 20:09:28, 
1, 1237, 2021-09-11 23:00:00, 
1, 1289, 2023-02-19 21:33:13, 
1, 3012, 2021-09-06 23:56:55, 
1, 1293, 2023-02-04 22:14:42, 
1, 1310, 2021-08-16 23:13:37, 
1, 1318, 2023-02-01 22:57:48, 
1, 1342, 2023-03-05 22:23:29, 
1, 1346, 2021-08-19 00:59:35, 
1, 1352, 2023-03-09 23:20:34, 
1, 1383, 2022-12-26 19:38:52, 
1, 1394, 2023-02-02 21:46:11, 
1, 1492, 2021-08-14 23:58:28, 
1, 6010, 2022-12-31 20:04:21, 
1, 1517, 2021-08-22 23:21:23, 
1, 1565, 2023-06-08 23:58:47, 
1, 1601, 2023-03-03 21:18:19, 
1, 1649, 2023-03-04 22:19:52, 
1, 2245, 2021-08-12 23:07:02, 
1, 1720, 2021-08-16 23:13:37, 
1, 1747, 2021-07-23 21:27:24, 
1, 1758, 2023-04-02 23:00:05, 
1, 1762, 2021-08-06 23:57:52, 
1, 1833, 2021-08-06 23:57:52, 
1, 1868, 2023-06-11 22:23:31, 
1, 1883, 2021-08-05 22:22:42, 
1, 1926, 2023-02-23 00:11:42, 
1, 1961, 2021-08-27 23:40:15, 
1, 1964, 2021-08-21 16:00:19, 
1, 1566, 2023-02-26 22:56:56, 
1, 2082, 2023-03-25 00:27:43, 
1, 1341, 2021-08-14 23:38:26, 
1, 164, 2023-06-08 23:42:01, 
1, 547, 2023-02-03 22:20:30, 
1, 1821, 2023-01-20 21:51:54, 
1, 2092, 2023-02-13 22:55:33, 
1, 787, 2021-08-31 23:00:00, 
1, 713, 2021-09-04 23:27:06, 
1, 1451, 2023-04-06 00:05:02, 
1, 1973, 2021-08-18 23:41:08, 
1, 66, 2021-08-07 16:34:00, 
1, 432, 2021-07-19 22:47:56, 
1, 488, 2021-08-14 23:09:39, 
1, 740, 2021-08-04 23:21:18, 
1, 5594, 2023-04-06 00:05:04, 
1, 806, 2023-03-05 22:17:30, 
1, 1684, 2021-08-07 16:34:01, 
1, 2095, 2023-05-25 22:51:58, 
1, 4520, 2021-08-26 23:52:02, 
1, 2568, 2023-02-06 23:35:38, 
1, 1027, 2021-08-16 23:13:37, 
1, 1271, 2023-01-31 21:47:53, 
1, 1829, 2021-08-12 23:15:33, 
1, 1694, 2023-02-26 23:07:07, 
1, 6830, 2023-02-10 22:00:16, 
1, 141, 2021-08-06 23:57:52, 
1, 5927, 2023-02-19 21:39:26, 
1, 2933, 2023-02-16 21:48:57, 
1, 4836, 2023-02-17 23:22:10, 
1, 1927, 2023-01-13 19:27:49, 
